iter	Logloss
0	0.6557771269
1	0.622969218
2	0.5996164367
3	0.5835936745
4	0.5640494145
5	0.5421110511
6	0.5276677507
7	0.5070127782
8	0.4943676483
9	0.4799497207
10	0.4610323774
11	0.449611909
12	0.4373004304
13	0.4224944995
14	0.4114880841
15	0.4018355314
16	0.3950876377
17	0.3861144076
18	0.3792890575
19	0.3707389231
20	0.3630277343
21	0.3572567694
22	0.3513592283
23	0.3451424968
24	0.3391707796
25	0.3321741828
26	0.327341718
27	0.3223335139
28	0.3153210004
29	0.3089371401
30	0.3043409536
31	0.3002203223
32	0.2965794695
33	0.2912380752
34	0.2861956387
35	0.2835437378
36	0.2800255958
37	0.2763912473
38	0.2734846825
39	0.2693690253
40	0.2669154461
41	0.26327011
42	0.260068773
43	0.2570332131
44	0.2539014561
45	0.2509353637
46	0.2474486512
47	0.2450944972
48	0.2413234083
49	0.23793117
50	0.2349530005
51	0.2319771941
52	0.2298277398
53	0.228429159
54	0.2261127411
55	0.2233334815
56	0.2214224603
57	0.2192097334
58	0.2164439553
59	0.2142816959
60	0.2116378076
61	0.2088302079
62	0.2068446898
63	0.2045399642
64	0.2028271214
65	0.2005936883
66	0.1985015008
67	0.1966368871
68	0.1945235237
69	0.1925525855
70	0.1899617458
71	0.1882153316
72	0.1856498598
73	0.183567293
74	0.1819881039
75	0.1804114828
76	0.1787678282
77	0.1773645847
78	0.1742816206
79	0.1721502035
80	0.1707283951
81	0.1682546883
82	0.1666094877
83	0.1646009563
84	0.1624017288
85	0.1612718982
86	0.1600571039
87	0.1581313953
88	0.1567429634
89	0.1555520604
90	0.1538781166
91	0.1523621062
92	0.1508723411
93	0.1495185096
94	0.1479922855
95	0.1463683941
96	0.1450933563
97	0.1436063367
98	0.1421383949
99	0.1414664122
100	0.140424573
101	0.1389410918
102	0.137763732
103	0.1367672843
104	0.1354735941
105	0.1343364107
106	0.1328087028
107	0.131651571
108	0.1297844293
109	0.1288100875
110	0.1279336253
111	0.1266001043
112	0.1252023315
113	0.1243671695
114	0.1230268533
115	0.1218815258
116	0.1210129156
117	0.1202822394
118	0.1191367126
119	0.1182791798
120	0.1175845766
121	0.1164737316
122	0.1152973655
123	0.1143138847
124	0.1130518251
125	0.112082633
126	0.1112658566
127	0.1106061624
128	0.1098042686
129	0.108808762
130	0.1077796142
131	0.106944202
132	0.1058207867
133	0.1047645787
134	0.1038926928
135	0.1029133154
136	0.1017995843
137	0.1005136815
138	0.09974751353
139	0.09829369998
140	0.09738286338
141	0.09678263234
142	0.09584259778
143	0.09520053841
144	0.09414147813
145	0.09319187927
146	0.09217435214
147	0.09155535922
148	0.09083216585
149	0.08999092391
150	0.08874326956
151	0.08823530257
152	0.08743552302
153	0.08620134325
154	0.08553208803
155	0.08444741373
156	0.08324604295
157	0.08216462115
158	0.08166334529
159	0.0808852114
160	0.07984215051
161	0.07896395979
162	0.07829873788
163	0.07734831006
164	0.0767230346
165	0.07581283088
166	0.07525390705
167	0.0748106053
168	0.07425785633
169	0.0737367561
170	0.07311463465
171	0.07299513007
172	0.07209352342
173	0.07154317868
174	0.07080446495
175	0.07023913285
176	0.06972346385
177	0.06912794152
178	0.06815342292
179	0.067799118
180	0.06719477852
181	0.06637382598
182	0.06632445289
183	0.0659476336
184	0.06549660066
185	0.06486043619
186	0.06409248584
187	0.06362995646
188	0.06300188674
189	0.06139071372
190	0.06071120075
191	0.06027634148
192	0.05972060653
193	0.05915922149
194	0.05861663281
195	0.05852901961
196	0.05802478108
197	0.05745689891
198	0.0569166462
199	0.05643569158
200	0.05623103237
201	0.05580069475
202	0.0553670212
203	0.05477254999
204	0.05453930796
205	0.05367820756
206	0.05360930643
207	0.05357553713
208	0.05294536295
209	0.05245939349
210	0.05194461596
211	0.05142419983
212	0.05086292548
213	0.05027079411
214	0.04949491767
215	0.04912680735
216	0.04842972435
217	0.04811220113
218	0.04781162506
219	0.04721984464
220	0.0467890112
221	0.04631578656
222	0.04592947708
223	0.04570363101
224	0.04531731956
225	0.04476207587
226	0.04443284818
227	0.04396973829
228	0.04382905734
229	0.04347065966
230	0.04296251208
231	0.04263124248
232	0.04223539878
233	0.04198577208
234	0.04194030082
235	0.04154320496
236	0.04150219379
237	0.04117207057
238	0.04088708518
239	0.04049608104
240	0.04020715006
241	0.03979254483
242	0.03955976969
243	0.03952446812
244	0.03924729196
245	0.03920322187
246	0.03898303992
247	0.03862632246
248	0.03820748473
249	0.03740102634
